college,rank_2024,rank_2023,gender,caste,branch_code,branch,college_code,students_per_class,fee,seat_category
IIT Bhubaneswar,1313,21572,M,SC,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,30,2438,M,SC (PwD),CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC (PwD)
IIT Bhubaneswar,356,4301,F,ST,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,649,5663,M,ST,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,6685,8395,M,General,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,14183,2746,F,General,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,262,1233,M,General (PwD),CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,1151,1514,M,EWS,CE,Civil Engineering and M.Tech in Transportation Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,2249,16123,M,EWS,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,2868,22009,M,OBC-NCL,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,6491,2658,M,OBC-NCL,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,1674,4349,F,SC,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,2081,5991,M,SC,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,792,2749,F,ST,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,1179,3584,F,ST,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,5025,1154,M,General,CE,Civil Engineering and M.Tech. in Environmental Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,10376,3101,M,General,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,59,5206,M,General (PwD),CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bhubaneswar,738,102,F,EWS,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1431,198,F,EWS,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1990,367,M,OBC-NCL,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,3729,792,F,OBC-NCL,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,1239,1134,F,SC,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,1915,2291,F,SC,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,538,41,M,ST,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,910,651,M,ST,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,10179,1056,F,General,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,17730,268,M,General,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,1755,466,M,EWS,CSE,Computer Science and Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,4378,3468,M,OBC-NCL,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,9267,7882,M,OBC-NCL,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,2104,132,M,SC,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,4096,457,M,SC,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,1160,1284,M,ST,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,9533,2763,M,General,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,18483,747,M,General,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,172,212,F,General (PwD),CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,1489,601,F,EWS,CSE,Computer Science and Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,2781,7902,F,EWS,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,3776,15560,M,OBC-NCL,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,7801,1345,F,OBC-NCL,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,2223,2747,M,SC,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,3892,3014,F,SC,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,1035,5790,F,ST,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,1735,1977,F,ST,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,13863,767,M,General,EEE,Electrical Engineering and M.Tech Power Electronics and Drives (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,20995,7714,F,General,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,2170,12898,M,EWS,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,3242,150,F,EWS,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,5284,1225,M,OBC-NCL,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,9228,1880,M,OBC-NCL,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,2774,2692,M,SC,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,4396,4912,M,SC,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,1223,1765,M,ST,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,602,2431,F,ST,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,2394,599,M,General,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,6360,1022,M,General,EEE,Electrical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,44,5190,F,General (PwD),EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bhubaneswar,41,8719,M,General (PwD),EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bhubaneswar,618,145,M,EWS,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1409,202,M,EWS,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1470,657,F,OBC-NCL,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,3442,1369,M,OBC-NCL,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,62,2001,F,OBC-NCL (PwD),EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL (PwD)
IIT Bhubaneswar,678,2954,M,SC,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,1493,21,M,SC,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,471,1220,M,ST,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,424,1480,F,ST,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,1191,441,M,General,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,4101,1021,F,General,EEE,Electronics and Communication Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,139,10826,M,General (PwD),ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bhubaneswar,360,17907,M,EWS,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1490,1754,M,EWS,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,1291,3204,M,OBC-NCL,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,3479,3847,F,OBC-NCL,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,545,7075,F,SC,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,1438,2294,F,SC,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bhubaneswar,247,2280,F,ST,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,2529,834,F,General,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,6650,1516,F,General,ME,Mechanical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,153,11379,M,General (PwD),ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,265,18777,M,General (PwD),ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,485,1786,M,EWS,ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,1438,4255,M,EWS,ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,44,8565,M,EWS (PwD),ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS (PwD)
IIT Bhubaneswar,1337,2324,M,OBC-NCL,ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,3118,1277,M,OBC-NCL,ME,Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,64,13116,M,OBC-NCL (PwD),ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL (PwD)
IIT Bhubaneswar,783,20126,F,SC,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,1498,2151,M,SC,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,413,4298,F,ST,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,742,7937,M,ST,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,7065,2446,F,General,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,11262,4323,M,General,ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,193,1307,M,General (PwD),ME,Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bhubaneswar,1338,12505,M,EWS,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,2285,18956,M,EWS,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,EWS
IIT Bhubaneswar,3506,2254,M,OBC-NCL,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,7570,4490,M,OBC-NCL,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,1936,2442,M,SC,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,3101,3393,M,SC,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,1036,1280,M,ST,ME,Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,1498,15792,M,ST,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bhubaneswar,3987,22377,M,General,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,8833,2315,M,General,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bhubaneswar,151,3847,M,General (PwD),MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bhubaneswar,148,5667,F,EWS,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,769,7176,M,EWS,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bhubaneswar,2005,3045,M,EWS (PwD),MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS (PwD)
IIT Bhubaneswar,36,3949,M,OBC-NCL,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,1979,1240,M,OBC-NCL,MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bhubaneswar,4709,1529,M,OBC-NCL (PwD),MME,Metallurgical and Materials Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL (PwD)
IIT Bhubaneswar,53,16257,M,SC,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,998,23463,M,SC,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,SC
IIT Bhubaneswar,1986,2744,M,ST,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,331,5808,M,ST,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,ST
IIT Bhubaneswar,623,3153,M,General,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,68,1398,M,General,MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General
IIT Bhubaneswar,421,101,F,General (PwD),MME,Metallurgical and Materials Engineering (5 Years of Bachelor and Master of Technology (Dual Degree)),IIT,84,70000,General (PwD)
IIT Bombay,3,2694,M,General (PwD),AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bombay,7,4647,M,EWS,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bombay,23,49,M,EWS,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bombay,79,104,M,EWS (PwD),AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS (PwD)
IIT Bombay,3,642,M,OBC-NCL,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bombay,50,1241,M,OBC-NCL,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bombay,274,1588,M,OBC-NCL (PwD),AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL (PwD)
IIT Bombay,2,3689,M,OBC-NCL (PwD),AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL (PwD)
IIT Bombay,20,74,F,SC,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bombay,32,952,F,SC,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bombay,71,1926,M,SC (PwD),AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC (PwD)
IIT Bombay,1,475,M,ST,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bombay,13,365,M,ST,AE,Aerospace Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bombay,40,1704,M,ST (PwD),BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,ST (PwD)
IIT Bombay,1,3173,F,General,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,General
IIT Bombay,2400,876,F,General,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,General
IIT Bombay,4123,1779,F,General (PwD),BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,General (PwD)
IIT Bombay,144,2823,F,EWS,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,EWS
IIT Bombay,412,570,M,EWS,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,EWS
IIT Bombay,920,2249,M,OBC-NCL,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,OBC-NCL
IIT Bombay,1255,579,F,OBC-NCL,BSM,BS in Mathematics (4 Years of Bachelor of Science),IIT,84,70000,OBC-NCL
IIT Bombay,2705,2824,M,SC,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bombay,722,5426,M,SC,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,SC
IIT Bombay,373,179,M,ST,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bombay,222,549,M,ST,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,ST
IIT Bombay,714,1647,M,General,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bombay,464,20,M,General,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General
IIT Bombay,1303,1449,M,General (PwD),CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bombay,30,3421,M,General (PwD),CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,General (PwD)
IIT Bombay,77,936,M,EWS,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bombay,116,1655,M,EWS,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS
IIT Bombay,455,487,M,EWS (PwD),CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,EWS (PwD)
IIT Bombay,21,502,M,OBC-NCL,CHE,Chemical Engineering (4 Years of Bachelor of Technology),IIT,84,70000,OBC-NCL
IIT Bombay,318,9064,M,OBC-NCL,CH,Chemistry (4 Years of Bachelor of Science),IIT,84,70000,OBC-NCL
IIT Bombay,791,14929,F,OBC-NCL (PwD),CH,Chemistry (4 Years of Bachelor of Science),IIT,84,70000,OBC-NCL (PwD)
IIT Bombay,23,234,M,SC,CH,Chemistry (4 Years of Bachelor of Science),IIT,84,70000,SC
IIT Bombay,171,1685,M,SC,CH,Chemistry (4 Years of Bachelor of Science),IIT,84,70000,SC
IIT Bombay,368,2924,M,SC (PwD),CH,Chemistry (4 Years of Bachelor of Science),IIT,84,70000,SC (PwD)
IIT Bombay,10,4004,M,ST,CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,ST
IIT Bombay,79,6843,F,ST,CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,ST
IIT Bombay,176,2321,M,General,CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,General
IIT Bombay,934,2890,M,General,CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,General
IIT Bombay,2424,1367,M,General (PwD),CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,General (PwD)
IIT Bombay,52,1226,M,General (PwD),CH,Chemistry (4 Years of Bachelor of Science),IIT,42,70000,General (PwD)
IIT Bombay,245,4371,M,EWS,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,EWS
IIT Bombay,197,7857,F,EWS,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,EWS
IIT Bombay,753,69,M,OBC-NCL,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,OBC-NCL
IIT Bombay,546,854,M,OBC-NCL,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,OBC-NCL
IIT Bombay,1877,2162,M,OBC-NCL (PwD),CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,OBC-NCL (PwD)
IIT Bombay,42,2034,F,SC,CE,Civil Engineering (4 Years of Bachelor of Technology),IIT,42,70000,SC
